id,family,genus,taxon,trait,dstate,value,units,N
17517,Asteraceae,Osteospermum,Osteospermum ecklonis,High elevation,NA,200,m,1
17518,Hydrocharitaceae,Ottelia,Ottelia alismoides,High elevation,NA,100,m,1
17519,Oxalidaceae,Oxalis,Oxalis albicans,High elevation,NA,700,m,1
17520,Oxalidaceae,Oxalis,Oxalis albicans ssp. californica,High elevation,NA,700,m,1
17521,Oxalidaceae,Oxalis,Oxalis hirta,High elevation,NA,100,m,1
17522,Oxalidaceae,Oxalis,Oxalis incarnata,High elevation,NA,200,m,1
17523,Oxalidaceae,Oxalis,Oxalis latifolia,High elevation,NA,100,m,1
17524,Oxalidaceae,Oxalis,Oxalis pes-caprae,High elevation,NA,500,m,1
17525,Oxalidaceae,Oxalis,Oxalis purpurea,High elevation,NA,100,m,1
17526,Oxalidaceae,Oxalis,Oxalis rubra,High elevation,NA,100,m,1
17527,Oxalidaceae,Oxalis,Oxalis suksdorfii,High elevation,NA,700,m,1
17528,Apiaceae,Oxypolis,Oxypolis occidentalis,High elevation,NA,2600,m,1
17529,Capparaceae,Oxystylis,Oxystylis lutea,High elevation,NA,4100,m,1
17530,Polygonaceae,Oxytheca,Oxytheca caryophylloides,High elevation,NA,2600,m,1
17531,Polygonaceae,Oxytheca,Oxytheca dendroidea ssp. dendroidea,High elevation,NA,2200,m,1
17532,Polygonaceae,Oxytheca,Oxytheca emarginata,High elevation,NA,2500,m,1
17533,Polygonaceae,Oxytheca,Oxytheca parishii,High elevation,NA,2500,m,1
17534,Polygonaceae,Oxytheca,Oxytheca parishii var. abramsii,High elevation,NA,2000,m,1
17535,Polygonaceae,Oxytheca,Oxytheca parishii var. cienegensis,High elevation,NA,2500,m,1
17536,Polygonaceae,Oxytheca,Oxytheca parishii var. goodmaniana,High elevation,NA,2300,m,1
17537,Polygonaceae,Oxytheca,Oxytheca parishii var. parishii,High elevation,NA,2500,m,1
17538,Polygonaceae,Oxytheca,Oxytheca trilobata,High elevation,NA,2800,m,1
17539,Polygonaceae,Oxytheca,Oxytheca watsonii,High elevation,NA,2000,m,1
17540,Fabaceae,Oxytropis,Oxytropis borealis var. viscida,High elevation,NA,3900,m,1
17541,Fabaceae,Oxytropis,Oxytropis deflexa var. sericea,High elevation,NA,4100,m,1
17542,Fabaceae,Oxytropis,Oxytropis oreophila var. oreophila,High elevation,NA,3800,m,1
17543,Fabaceae,Oxytropis,Oxytropis parryi,High elevation,NA,3800,m,1
17544,Asteraceae,Palafoxia,Palafoxia arida,High elevation,NA,1000,m,1
17545,Asteraceae,Palafoxia,Palafoxia arida var. gigantea,High elevation,NA,100,m,1
17546,Poaceae,Panicum,Panicum acuminatum,High elevation,NA,2600,m,1
17547,Poaceae,Panicum,Panicum acuminatum var. acuminatum,High elevation,NA,2600,m,1
17548,Poaceae,Panicum,Panicum acuminatum var. lindheimeri,High elevation,NA,100,m,1
17549,Poaceae,Panicum,Panicum antidotale,High elevation,NA,100,m,1
17550,Poaceae,Panicum,Panicum capillare,High elevation,NA,1500,m,1
17551,Poaceae,Panicum,Panicum dichotomiflorum,High elevation,NA,500,m,1
17552,Poaceae,Panicum,Panicum hillmanii,High elevation,NA,200,m,1
17553,Poaceae,Panicum,Panicum hirticaule,High elevation,NA,1400,m,1
17554,Poaceae,Panicum,Panicum miliaceum,High elevation,NA,1000,m,1
17555,Poaceae,Panicum,Panicum oligosanthes var. scribnerianum,High elevation,NA,1400,m,1
17556,Poaceae,Panicum,Panicum urvilleanum,High elevation,NA,900,m,1
17557,Papaveraceae,Papaver,Papaver argemone,High elevation,NA,500,m,1
17558,Papaveraceae,Papaver,Papaver rhoeas,High elevation,NA,500,m,1
17559,Papaveraceae,Papaver,Papaver somniferum,High elevation,NA,500,m,1
17560,Poaceae,Parapholis,Parapholis incurva,High elevation,NA,100,m,1
17561,Poaceae,Parapholis,Parapholis strigosa,High elevation,NA,100,m,1
17562,Scrophulariaceae,Parentucellia,Parentucellia latifolia,High elevation,NA,4100,m,1
17563,Urticaceae,Parietaria,Parietaria hespera,High elevation,NA,1400,m,1
17564,Urticaceae,Parietaria,Parietaria hespera var. californica,High elevation,NA,1400,m,1
17565,Urticaceae,Parietaria,Parietaria hespera var. hespera,High elevation,NA,1400,m,1
17566,Urticaceae,Parietaria,Parietaria judaica,High elevation,NA,100,m,1
17567,Urticaceae,Parietaria,Parietaria pensylvanica,High elevation,NA,2500,m,1
17568,Campanulaceae,Parishella,Parishella californica,High elevation,NA,1500,m,1
17569,Saxifragaceae,Parnassia,Parnassia californica,High elevation,NA,4000,m,1
17570,Saxifragaceae,Parnassia,Parnassia cirrata,High elevation,NA,3000,m,1
17571,Saxifragaceae,Parnassia,Parnassia fimbriata,High elevation,NA,4000,m,1
17572,Saxifragaceae,Parnassia,Parnassia parviflora,High elevation,NA,3000,m,1
17573,Caryophyllaceae,Paronychia,Paronychia ahartii,High elevation,NA,500,m,1
17574,Caryophyllaceae,Paronychia,Paronychia echinulata var. echinulata,High elevation,NA,4100,m,1
17575,Caryophyllaceae,Paronychia,Paronychia franciscana,High elevation,NA,300,m,1
17576,Vitaceae,Parthenocissus,Parthenocissus vitacea,High elevation,NA,1000,m,1
17577,Crassulaceae,Parvisedum,Parvisedum congdonii,High elevation,NA,1500,m,1
17578,Crassulaceae,Parvisedum,Parvisedum leiocarpum,High elevation,NA,600,m,1
17579,Crassulaceae,Parvisedum,Parvisedum pentandrum,High elevation,NA,700,m,1
17580,Poaceae,Pascopyrum,Pascopyrum smithii,High elevation,NA,2000,m,1
17581,Poaceae,Paspalum,Paspalum distichum,High elevation,NA,1700,m,1
17582,Poaceae,Paspalum,Paspalum notatum,High elevation,NA,200,m,1
17583,Poaceae,Paspalum,Paspalum urvillei,High elevation,NA,100,m,1
17584,Apiaceae,Pastinaca,Pastinaca sativa,High elevation,NA,1000,m,1
17585,Celastraceae,Paxistima,Paxistima myrsinites,High elevation,NA,2000,m,1
17586,Boraginaceae,Pectocarya,Pectocarya heterocarpa,High elevation,NA,1400,m,1
17587,Boraginaceae,Pectocarya,Pectocarya linearis ssp. ferocula,High elevation,NA,2000,m,1
17588,Boraginaceae,Pectocarya,Pectocarya peninsularis,High elevation,NA,300,m,1
17589,Boraginaceae,Pectocarya,Pectocarya pusilla,High elevation,NA,1800,m,1
17590,Boraginaceae,Pectocarya,Pectocarya recurvata,High elevation,NA,1600,m,1
17591,Boraginaceae,Pectocarya,Pectocarya setosa,High elevation,NA,2300,m,1
17592,Scrophulariaceae,Pedicularis,Pedicularis bracteosa var. flavida,High elevation,NA,2300,m,1
17593,Scrophulariaceae,Pedicularis,Pedicularis centranthera,High elevation,NA,1500,m,1
17594,Scrophulariaceae,Pedicularis,Pedicularis contorta,High elevation,NA,2400,m,1
17595,Scrophulariaceae,Pedicularis,Pedicularis crenulata,High elevation,NA,2300,m,1
17596,Scrophulariaceae,Pedicularis,Pedicularis dudleyi,High elevation,NA,400,m,1
17597,Scrophulariaceae,Pedicularis,Pedicularis howellii,High elevation,NA,1900,m,1
17598,Scrophulariaceae,Pedicularis,Pedicularis racemosa,High elevation,NA,2300,m,1
17599,Scrophulariaceae,Pedicularis,Pedicularis semibarbata,High elevation,NA,3500,m,1
17600,Fabaceae,Pediomelum,Pediomelum californicum,High elevation,NA,2500,m,1
17601,Fabaceae,Pediomelum,Pediomelum castoreum,High elevation,NA,1800,m,1
17602,Geraniaceae,Pelargonium,Pelargonium X-domesticum,High elevation,NA,300,m,1
17603,Geraniaceae,Pelargonium,Pelargonium X-hortorum,High elevation,NA,300,m,1
17604,Geraniaceae,Pelargonium,Pelargonium grossularioides,High elevation,NA,300,m,1
17605,Geraniaceae,Pelargonium,Pelargonium inquinans,High elevation,NA,300,m,1
17606,Geraniaceae,Pelargonium,Pelargonium panduriforme,High elevation,NA,300,m,1
17607,Geraniaceae,Pelargonium,Pelargonium peltatum,High elevation,NA,300,m,1
17608,Geraniaceae,Pelargonium,Pelargonium quercifolium,High elevation,NA,300,m,1
17609,Geraniaceae,Pelargonium,Pelargonium vitifolium,High elevation,NA,300,m,1
17610,Geraniaceae,Pelargonium,Pelargonium zonale,High elevation,NA,300,m,1
17611,Pteridaceae,Pellaea,Pellaea andromedifolia,High elevation,NA,1800,m,1
17612,Pteridaceae,Pellaea,Pellaea brachyptera,High elevation,NA,2200,m,1
17613,Pteridaceae,Pellaea,Pellaea breweri,High elevation,NA,3700,m,1
17614,Pteridaceae,Pellaea,Pellaea bridgesii,High elevation,NA,3200,m,1
17615,Pteridaceae,Pellaea,Pellaea mucronata,High elevation,NA,3000,m,1
17616,Pteridaceae,Pellaea,Pellaea mucronata var. californica,High elevation,NA,3000,m,1
17617,Pteridaceae,Pellaea,Pellaea mucronata var. mucronata,High elevation,NA,2400,m,1
17618,Pteridaceae,Pellaea,Pellaea truncata,High elevation,NA,1900,m,1
17619,Araceae,Peltandra,Peltandra virginica,High elevation,NA,400,m,1
17620,Poaceae,Pennisetum,Pennisetum clandestinum,High elevation,NA,100,m,1
17621,Poaceae,Pennisetum,Pennisetum setaceum,High elevation,NA,100,m,1
17622,Poaceae,Pennisetum,Pennisetum villosum,High elevation,NA,100,m,1
17623,Scrophulariaceae,Penstemon,Penstemon albomarginatus,High elevation,NA,900,m,1
17624,Scrophulariaceae,Penstemon,Penstemon azureus var. angustissimus,High elevation,NA,700,m,1
17625,Scrophulariaceae,Penstemon,Penstemon azureus var. azureus,High elevation,NA,2500,m,1
17626,Scrophulariaceae,Penstemon,Penstemon barnebyi,High elevation,NA,2500,m,1
17627,Scrophulariaceae,Penstemon,Penstemon bicolor,High elevation,NA,1500,m,1
17628,Scrophulariaceae,Penstemon,Penstemon caesius,High elevation,NA,3400,m,1
17629,Scrophulariaceae,Penstemon,Penstemon calcareus,High elevation,NA,1600,m,1
17630,Scrophulariaceae,Penstemon,Penstemon californicus,High elevation,NA,2300,m,1
17631,Scrophulariaceae,Penstemon,Penstemon cinicola,High elevation,NA,2200,m,1
17632,Scrophulariaceae,Penstemon,Penstemon clevelandii var. clevelandii,High elevation,NA,1500,m,1
17633,Scrophulariaceae,Penstemon,Penstemon clevelandii var. mohavensis,High elevation,NA,1500,m,1
17634,Scrophulariaceae,Penstemon,Penstemon deustus var. pedicellatus,High elevation,NA,3000,m,1
17635,Scrophulariaceae,Penstemon,Penstemon deustus var. suffrutescens,High elevation,NA,2200,m,1
17636,Scrophulariaceae,Penstemon,Penstemon eatonii,High elevation,NA,2800,m,1
17637,Scrophulariaceae,Penstemon,Penstemon eatonii var. eatonii,High elevation,NA,2800,m,1
17638,Scrophulariaceae,Penstemon,Penstemon filiformis,High elevation,NA,4100,m,1
17639,Scrophulariaceae,Penstemon,Penstemon floridus,High elevation,NA,2400,m,1
17640,Scrophulariaceae,Penstemon,Penstemon floridus var. austinii,High elevation,NA,2400,m,1
17641,Scrophulariaceae,Penstemon,Penstemon floridus var. floridus,High elevation,NA,2400,m,1
17642,Scrophulariaceae,Penstemon,Penstemon fruticiformis,High elevation,NA,1800,m,1
17643,Scrophulariaceae,Penstemon,Penstemon fruticiformis var. amargosae,High elevation,NA,1200,m,1
17644,Scrophulariaceae,Penstemon,Penstemon fruticiformis var. fruticiformis,High elevation,NA,1800,m,1
17645,Scrophulariaceae,Penstemon,Penstemon gracilentus,High elevation,NA,3000,m,1
17646,Scrophulariaceae,Penstemon,Penstemon grinnellii var. grinnellii,High elevation,NA,2700,m,1
17647,Scrophulariaceae,Penstemon,Penstemon heterodoxus var. cephalophorus,High elevation,NA,3300,m,1
17648,Scrophulariaceae,Penstemon,Penstemon heterodoxus var. heterodoxus,High elevation,NA,3900,m,1
17649,Scrophulariaceae,Penstemon,Penstemon heterodoxus var. shastensis,High elevation,NA,2400,m,1
17650,Scrophulariaceae,Penstemon,Penstemon heterophyllus var. australis,High elevation,NA,1600,m,1
17651,Scrophulariaceae,Penstemon,Penstemon heterophyllus var. heterophyllus,High elevation,NA,1600,m,1
17652,Scrophulariaceae,Penstemon,Penstemon heterophyllus var. purdyi,High elevation,NA,1600,m,1
17653,Scrophulariaceae,Penstemon,Penstemon humilis var. humilis,High elevation,NA,3000,m,1
17654,Scrophulariaceae,Penstemon,Penstemon incertus,High elevation,NA,1700,m,1
17655,Scrophulariaceae,Penstemon,Penstemon janishiae,High elevation,NA,2300,m,1
17656,Scrophulariaceae,Penstemon,Penstemon labrosus,High elevation,NA,2400,m,1
17657,Scrophulariaceae,Penstemon,Penstemon laetus var. laetus,High elevation,NA,2500,m,1
17658,Scrophulariaceae,Penstemon,Penstemon laetus var. sagittatus,High elevation,NA,1600,m,1
17659,Scrophulariaceae,Penstemon,Penstemon monoensis,High elevation,NA,1800,m,1
17660,Scrophulariaceae,Penstemon,Penstemon newberryi var. berryi,High elevation,NA,2300,m,1
17661,Scrophulariaceae,Penstemon,Penstemon newberryi var. newberryi,High elevation,NA,3500,m,1
17662,Scrophulariaceae,Penstemon,Penstemon newberryi var. sonomensis,High elevation,NA,1300,m,1
17663,Scrophulariaceae,Penstemon,Penstemon pahutensis,High elevation,NA,2300,m,1
17664,Scrophulariaceae,Penstemon,Penstemon papillatus,High elevation,NA,2700,m,1
17665,Scrophulariaceae,Penstemon,Penstemon parvulus,High elevation,NA,2200,m,1
17666,Scrophulariaceae,Penstemon,Penstemon patens,High elevation,NA,3000,m,1
17667,Scrophulariaceae,Penstemon,Penstemon personatus,High elevation,NA,1800,m,1
17668,Scrophulariaceae,Penstemon,Penstemon procerus,High elevation,NA,3600,m,1
17669,Scrophulariaceae,Penstemon,Penstemon procerus var. brachyanthus,High elevation,NA,2400,m,1
17670,Scrophulariaceae,Penstemon,Penstemon procerus var. formosus,High elevation,NA,3600,m,1
17671,Scrophulariaceae,Penstemon,Penstemon pseudospectabilis,High elevation,NA,1400,m,1
17672,Scrophulariaceae,Penstemon,Penstemon purpusii,High elevation,NA,2400,m,1
17673,Scrophulariaceae,Penstemon,Penstemon rattanii,High elevation,NA,1200,m,1
17674,Scrophulariaceae,Penstemon,Penstemon rattanii var. rattanii,High elevation,NA,1200,m,1
17675,Scrophulariaceae,Penstemon,Penstemon roezlii,High elevation,NA,2500,m,1
17676,Scrophulariaceae,Penstemon,Penstemon scapoides,High elevation,NA,3200,m,1
17677,Scrophulariaceae,Penstemon,Penstemon spectabilis var. spectabilis,High elevation,NA,1100,m,1
17678,Scrophulariaceae,Penstemon,Penstemon spectabilis var. subviscosus,High elevation,NA,2400,m,1
17679,Scrophulariaceae,Penstemon,Penstemon stephensii,High elevation,NA,1500,m,1
17680,Scrophulariaceae,Penstemon,Penstemon sudans,High elevation,NA,1700,m,1
17681,Scrophulariaceae,Penstemon,Penstemon thompsoniae,High elevation,NA,2700,m,1
17682,Scrophulariaceae,Penstemon,Penstemon thurberi,High elevation,NA,1200,m,1
17683,Scrophulariaceae,Penstemon,Penstemon tracyi,High elevation,NA,2100,m,1
17684,Scrophulariaceae,Penstemon,Penstemon venustus,High elevation,NA,2200,m,1
17685,Asteraceae,Pentachaeta,Pentachaeta alsinoides,High elevation,NA,400,m,1
17686,Asteraceae,Pentachaeta,Pentachaeta aurea,High elevation,NA,1900,m,1
17687,Asteraceae,Pentachaeta,Pentachaeta bellidiflora,High elevation,NA,700,m,1
17688,Asteraceae,Pentachaeta,Pentachaeta exilis,High elevation,NA,900,m,1
17689,Asteraceae,Pentachaeta,Pentachaeta exilis ssp. aeolica,High elevation,NA,700,m,1
17690,Asteraceae,Pentachaeta,Pentachaeta exilis ssp. exilis,High elevation,NA,900,m,1
17691,Asteraceae,Pentachaeta,Pentachaeta fragilis,High elevation,NA,2100,m,1
17692,Asteraceae,Pentachaeta,Pentachaeta lyonii,High elevation,NA,4100,m,1
17693,Pteridaceae,Pentagramma,Pentagramma pallida,High elevation,NA,1200,m,1
17694,Pteridaceae,Pentagramma,Pentagramma triangularis,High elevation,NA,2300,m,1
17695,Pteridaceae,Pentagramma,Pentagramma triangularis ssp. maxonii,High elevation,NA,1400,m,1
17696,Pteridaceae,Pentagramma,Pentagramma triangularis ssp. triangularis,High elevation,NA,2300,m,1
17697,Pteridaceae,Pentagramma,Pentagramma triangularis ssp. viscosa,High elevation,NA,800,m,1
17698,Rosaceae,Peraphyllum,Peraphyllum ramosissimum,High elevation,NA,2500,m,1
17699,Asteraceae,Pericome,Pericome caudata,High elevation,NA,2400,m,1
17700,Apiaceae,Perideridia,Perideridia bacigalupii,High elevation,NA,1000,m,1
17701,Apiaceae,Perideridia,Perideridia bolanderi,High elevation,NA,2000,m,1
17702,Apiaceae,Perideridia,Perideridia bolanderi ssp. bolanderi,High elevation,NA,2000,m,1
17703,Apiaceae,Perideridia,Perideridia bolanderi ssp. involucrata,High elevation,NA,1000,m,1
17704,Apiaceae,Perideridia,Perideridia californica,High elevation,NA,1300,m,1
17705,Apiaceae,Perideridia,Perideridia gairdneri,High elevation,NA,3000,m,1
17706,Apiaceae,Perideridia,Perideridia gairdneri ssp. borealis,High elevation,NA,3000,m,1
17707,Apiaceae,Perideridia,Perideridia gairdneri ssp. gairdneri,High elevation,NA,400,m,1
17708,Apiaceae,Perideridia,Perideridia howellii,High elevation,NA,1500,m,1
17709,Apiaceae,Perideridia,Perideridia lemmonii,High elevation,NA,2500,m,1
17710,Apiaceae,Perideridia,Perideridia leptocarpa,High elevation,NA,1500,m,1
17711,Apiaceae,Perideridia,Perideridia oregana,High elevation,NA,2000,m,1
17712,Apiaceae,Perideridia,Perideridia parishii ssp. latifolia,High elevation,NA,3000,m,1
17713,Apiaceae,Perideridia,Perideridia parishii ssp. parishii,High elevation,NA,3000,m,1
17714,Apiaceae,Perideridia,Perideridia pringlei,High elevation,NA,1800,m,1
17715,Asteraceae,Perityle,Perityle inyoensis,High elevation,NA,2600,m,1
17716,Asteraceae,Perityle,Perityle megalocephala,High elevation,NA,2800,m,1
17717,Asteraceae,Perityle,Perityle megalocephala var. megalocephala,High elevation,NA,2800,m,1
17718,Asteraceae,Perityle,Perityle megalocephala var. oligophylla,High elevation,NA,2600,m,1
17719,Asteraceae,Perityle,Perityle villosa,High elevation,NA,2600,m,1
17720,Loasaceae,Petalonyx,Petalonyx linearis,High elevation,NA,1000,m,1
17721,Loasaceae,Petalonyx,Petalonyx nitidus,High elevation,NA,2100,m,1
17722,Loasaceae,Petalonyx,Petalonyx thurberi,High elevation,NA,1200,m,1
17723,Loasaceae,Petalonyx,Petalonyx thurberi ssp. gilmanii,High elevation,NA,1200,m,1
17724,Loasaceae,Petalonyx,Petalonyx thurberi ssp. thurberi,High elevation,NA,1200,m,1
17725,Fabaceae,Peteria,Peteria thompsoniae,High elevation,NA,900,m,1
17726,Asteraceae,Petradoria,Petradoria pumila ssp. pumila,High elevation,NA,3400,m,1
17727,Rosaceae,Petrophyton,Petrophyton caespitosum,High elevation,NA,3000,m,1
17728,Rosaceae,Petrophyton,Petrophyton caespitosum ssp. acuminatum,High elevation,NA,2300,m,1
17729,Rosaceae,Petrophyton,Petrophyton caespitosum ssp. caespitosum,High elevation,NA,3000,m,1
17730,Caryophyllaceae,Petrorhagia,Petrorhagia dubia,High elevation,NA,1800,m,1
17731,Caryophyllaceae,Petrorhagia,Petrorhagia nanteuilii,High elevation,NA,4100,m,1
17732,Apiaceae,Petroselinum,Petroselinum crispum,High elevation,NA,1000,m,1
17733,Hydrophyllaceae,Phacelia,Phacelia adenophora,High elevation,NA,2600,m,1
17734,Hydrophyllaceae,Phacelia,Phacelia affinis,High elevation,NA,3400,m,1
17735,Hydrophyllaceae,Phacelia,Phacelia amabilis,High elevation,NA,700,m,1
17736,Hydrophyllaceae,Phacelia,Phacelia anelsonii,High elevation,NA,1500,m,1
17737,Hydrophyllaceae,Phacelia,Phacelia argentea,High elevation,NA,100,m,1
17738,Hydrophyllaceae,Phacelia,Phacelia austromontana,High elevation,NA,3000,m,1
17739,Hydrophyllaceae,Phacelia,Phacelia brachyloba,High elevation,NA,2300,m,1
17740,Hydrophyllaceae,Phacelia,Phacelia breweri,High elevation,NA,1400,m,1
17741,Hydrophyllaceae,Phacelia,Phacelia calthifolia,High elevation,NA,1000,m,1
17742,Hydrophyllaceae,Phacelia,Phacelia campanularia,High elevation,NA,1600,m,1
17743,Hydrophyllaceae,Phacelia,Phacelia campanularia ssp. campanularia,High elevation,NA,1600,m,1
17744,Hydrophyllaceae,Phacelia,Phacelia campanularia ssp. vasiformis,High elevation,NA,1600,m,1
17745,Hydrophyllaceae,Phacelia,Phacelia cicutaria var. cicutaria,High elevation,NA,1400,m,1
17746,Hydrophyllaceae,Phacelia,Phacelia cicutaria var. hispida,High elevation,NA,1400,m,1
17747,Hydrophyllaceae,Phacelia,Phacelia cicutaria var. hubbyi,High elevation,NA,1000,m,1
17748,Hydrophyllaceae,Phacelia,Phacelia coerulea,High elevation,NA,2000,m,1
17749,Hydrophyllaceae,Phacelia,Phacelia cookei,High elevation,NA,1700,m,1
17750,Hydrophyllaceae,Phacelia,Phacelia corymbosa,High elevation,NA,2600,m,1
17751,Hydrophyllaceae,Phacelia,Phacelia crenulata var. crenulata,High elevation,NA,2200,m,1
17752,Hydrophyllaceae,Phacelia,Phacelia crenulata var. minutiflora,High elevation,NA,500,m,1
17753,Hydrophyllaceae,Phacelia,Phacelia cryptantha,High elevation,NA,1900,m,1
17754,Hydrophyllaceae,Phacelia,Phacelia curvipes,High elevation,NA,2700,m,1
17755,Hydrophyllaceae,Phacelia,Phacelia dalesiana,High elevation,NA,2000,m,1
17756,Hydrophyllaceae,Phacelia,Phacelia davidsonii,High elevation,NA,2500,m,1
17757,Hydrophyllaceae,Phacelia,Phacelia douglasii,High elevation,NA,1700,m,1
17758,Hydrophyllaceae,Phacelia,Phacelia egena,High elevation,NA,2500,m,1
17759,Hydrophyllaceae,Phacelia,Phacelia exilis,High elevation,NA,2700,m,1
17760,Hydrophyllaceae,Phacelia,Phacelia glandulifera,High elevation,NA,2500,m,1
17761,Hydrophyllaceae,Phacelia,Phacelia greenei,High elevation,NA,1500,m,1
17762,Hydrophyllaceae,Phacelia,Phacelia grisea,High elevation,NA,1200,m,1
17763,Hydrophyllaceae,Phacelia,Phacelia gymnoclada,High elevation,NA,2300,m,1
17764,Hydrophyllaceae,Phacelia,Phacelia hastata ssp. hastata,High elevation,NA,2400,m,1
17765,Hydrophyllaceae,Phacelia,Phacelia heterophylla ssp. virgata,High elevation,NA,2900,m,1
17766,Hydrophyllaceae,Phacelia,Phacelia humilis,High elevation,NA,2300,m,1
17767,Hydrophyllaceae,Phacelia,Phacelia humilis var. dudleyi,High elevation,NA,1700,m,1
17768,Hydrophyllaceae,Phacelia,Phacelia humilis var. humilis,High elevation,NA,2300,m,1
17769,Hydrophyllaceae,Phacelia,Phacelia imbricata,High elevation,NA,2600,m,1
17770,Hydrophyllaceae,Phacelia,Phacelia imbricata ssp. patula,High elevation,NA,2600,m,1
17771,Hydrophyllaceae,Phacelia,Phacelia insularis,High elevation,NA,100,m,1
17772,Hydrophyllaceae,Phacelia,Phacelia insularis var. continentis,High elevation,NA,100,m,1
17773,Hydrophyllaceae,Phacelia,Phacelia insularis var. insularis,High elevation,NA,100,m,1
17774,Hydrophyllaceae,Phacelia,Phacelia inundata,High elevation,NA,2000,m,1
17775,Hydrophyllaceae,Phacelia,Phacelia inyoensis,High elevation,NA,3200,m,1
17776,Hydrophyllaceae,Phacelia,Phacelia ivesiana,High elevation,NA,1000,m,1
17777,Hydrophyllaceae,Phacelia,Phacelia ixodes,High elevation,NA,100,m,1
17778,Hydrophyllaceae,Phacelia,Phacelia lemmonii,High elevation,NA,2300,m,1
17779,Hydrophyllaceae,Phacelia,Phacelia leonis,High elevation,NA,1900,m,1
17780,Hydrophyllaceae,Phacelia,Phacelia linearis,High elevation,NA,2000,m,1
17781,Hydrophyllaceae,Phacelia,Phacelia longipes,High elevation,NA,1900,m,1
17782,Hydrophyllaceae,Phacelia,Phacelia lyonii,High elevation,NA,500,m,1
17783,Hydrophyllaceae,Phacelia,Phacelia marcescens,High elevation,NA,2400,m,1
17784,Hydrophyllaceae,Phacelia,Phacelia mohavensis,High elevation,NA,2500,m,1
17785,Hydrophyllaceae,Phacelia,Phacelia monoensis,High elevation,NA,2900,m,1
17786,Hydrophyllaceae,Phacelia,Phacelia mustelina,High elevation,NA,2100,m,1
17787,Hydrophyllaceae,Phacelia,Phacelia nashiana,High elevation,NA,2200,m,1
17788,Hydrophyllaceae,Phacelia,Phacelia neglecta,High elevation,NA,1000,m,1
17789,Hydrophyllaceae,Phacelia,Phacelia nemoralis,High elevation,NA,800,m,1
17790,Hydrophyllaceae,Phacelia,Phacelia nemoralis ssp. nemoralis,High elevation,NA,700,m,1
17791,Hydrophyllaceae,Phacelia,Phacelia nemoralis ssp. oregonensis,High elevation,NA,800,m,1
17792,Hydrophyllaceae,Phacelia,Phacelia novenmillensis,High elevation,NA,2200,m,1
17793,Hydrophyllaceae,Phacelia,Phacelia orogenes,High elevation,NA,3400,m,1
17794,Hydrophyllaceae,Phacelia,Phacelia pachyphylla,High elevation,NA,1000,m,1
17795,Hydrophyllaceae,Phacelia,Phacelia parishii,High elevation,NA,1200,m,1
17796,Hydrophyllaceae,Phacelia,Phacelia parryi,High elevation,NA,2400,m,1
17797,Hydrophyllaceae,Phacelia,Phacelia pedicellata,High elevation,NA,1400,m,1
17798,Hydrophyllaceae,Phacelia,Phacelia peirsoniana,High elevation,NA,2700,m,1
17799,Hydrophyllaceae,Phacelia,Phacelia perityloides,High elevation,NA,2300,m,1
17800,Hydrophyllaceae,Phacelia,Phacelia perityloides var. jaegeri,High elevation,NA,2300,m,1
17801,Hydrophyllaceae,Phacelia,Phacelia perityloides var. perityloides,High elevation,NA,2300,m,1
17802,Hydrophyllaceae,Phacelia,Phacelia phacelioides,High elevation,NA,1200,m,1
17803,Hydrophyllaceae,Phacelia,Phacelia platyloba,High elevation,NA,1200,m,1
17804,Hydrophyllaceae,Phacelia,Phacelia pringlei,High elevation,NA,2700,m,1
17805,Hydrophyllaceae,Phacelia,Phacelia pulchella var. gooddingii,High elevation,NA,1000,m,1
17806,Hydrophyllaceae,Phacelia,Phacelia purpusii,High elevation,NA,2300,m,1
17807,Hydrophyllaceae,Phacelia,Phacelia quickii,High elevation,NA,2400,m,1
17808,Hydrophyllaceae,Phacelia,Phacelia racemosa,High elevation,NA,3000,m,1
17809,Hydrophyllaceae,Phacelia,Phacelia ramosissima,High elevation,NA,3100,m,1
17810,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. austrolitoralis,High elevation,NA,300,m,1
17811,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. eremophila,High elevation,NA,2800,m,1
17812,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. latifolia,High elevation,NA,2500,m,1
17813,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. montereyensis,High elevation,NA,100,m,1
17814,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. ramosissima,High elevation,NA,2800,m,1
17815,Hydrophyllaceae,Phacelia,Phacelia ramosissima var. subglabra,High elevation,NA,3100,m,1
17816,Hydrophyllaceae,Phacelia,Phacelia rattanii,High elevation,NA,1400,m,1
17817,Hydrophyllaceae,Phacelia,Phacelia rotundifolia,High elevation,NA,2000,m,1
17818,Hydrophyllaceae,Phacelia,Phacelia saxicola,High elevation,NA,2300,m,1
17819,Hydrophyllaceae,Phacelia,Phacelia sericea var. ciliosa,High elevation,NA,2700,m,1
17820,Hydrophyllaceae,Phacelia,Phacelia stebbinsii,High elevation,NA,1600,m,1
17821,Hydrophyllaceae,Phacelia,Phacelia stellaris,High elevation,NA,400,m,1
17822,Hydrophyllaceae,Phacelia,Phacelia suaveolens,High elevation,NA,1700,m,1
